index	sourceid	month	color	dstid
0	10	8	1	837, 923, 924, 1221, 1343, 1350, 2033, 2548, 2703
1	10	8	2	2425
2	100	8	1	57, 100, 102, 191, 479, 625, 627, 893, 954, 1546, 1547, 1651, 1655, 2209, 2420
3	100	8	2	31, 43, 55, 56, 101, 225, 417, 478, 480, 481, 628, 1038, 1047, 1050, 1051, 1052, 1061, 1069, 1513, 1545, 1644, 1645, 1652, 1653, 1654, 1656, 1657, 2022, 2201, 2207, 2208, 2210, 2359, 2418, 2487, 2539, 2540, 2612, 2618, 2634
4	100	8	3	39, 46, 96, 98, 109, 253, 275, 285, 286, 321, 323, 369, 372, 397, 398, 415, 457, 458, 571, 597, 608, 617, 749, 808, 883, 887, 937, 1020, 1054, 1068, 1070, 1072, 1074, 1080, 1081, 1465, 1498, 1504, 1514, 1516, 1518, 1522, 1523, 1524, 1525, 1559, 1592, 1598, 1602, 1658, 1659, 1996, 2000, 2023, 2121, 2174, 2187, 2224, 2349, 2482, 2537, 2597, 2620
5	100	8	4	58, 99, 151, 181, 264, 280, 283, 284, 296, 322, 385, 423, 431, 446, 456, 462, 463, 464, 477, 591, 596, 598, 609, 610, 612, 618, 650, 809, 810, 812, 813, 843, 863, 886, 1016, 1030, 1031, 1032, 1036, 1044, 1045, 1046, 1048, 1049, 1053, 1056, 1057, 1060, 1063, 1071, 1073, 1079, 1119, 1120, 1202, 1499, 1511, 1512, 1515, 1526, 1528, 1534, 1536, 1537, 1571, 1604, 1636, 1695, 1703, 2020, 2029, 2120, 2127, 2132, 2133, 2197, 2198, 2212, 2213, 2215, 2218, 2308, 2332, 2346, 2367, 2401, 2403, 2434, 2437, 2483, 2485, 2538, 2622, 2632, 2654
6	100	8	5	7, 9, 20, 25, 30, 60, 73, 79, 82, 107, 108, 113, 194, 206, 208, 209, 210, 212, 234, 277, 288, 311, 333, 335, 388, 389, 392, 399, 434, 447, 467, 468, 469, 475, 487, 528, 532, 533, 536, 537, 594, 595, 599, 600, 605, 624, 629, 642, 643, 644, 652, 659, 805, 811, 814, 864, 885, 888, 905, 908, 939, 940, 950, 963, 1014, 1025, 1058, 1065, 1066, 1082, 1084, 1087, 1089, 1090, 1097, 1098, 1100, 1103, 1106, 1121, 1203, 1204, 1206, 1244, 1245, 1246, 1265, 1271, 1273, 1277, 1279, 1292, 1299, 1300, 1449, 1517, 1519, 1529, 1535, 1538, 1539, 1540, 1541, 1550, 1551, 1577, 1596, 1597, 1608, 1613, 1626, 1646, 1674, 1686, 1687, 1688, 1689, 1690, 1691, 1692, 1694, 1698, 1704, 1705, 1728, 1729, 1730, 1743, 1747, 1755, 1773, 1775, 1781, 1944, 1982, 1995, 2074, 2136, 2137, 2195, 2214, 2216, 2217, 2219, 2231, 2236, 2275, 2311, 2315, 2316, 2318, 2340, 2342, 2348, 2353, 2435, 2438, 2441, 2442, 2443, 2465, 2466, 2495, 2497, 2505, 2519, 2530, 2603, 2605, 2606, 2611, 2613, 2660, 2673
7	101	8	1	43, 56, 191, 225, 479, 480, 893, 954, 1051, 1052, 1652, 1653, 2418
8	101	8	2	55, 57, 100, 102, 417, 627, 628, 1047, 1069, 1546, 1547, 1651, 1654, 1655, 2201, 2209, 2210, 2420, 2539, 2612, 2634
9	101	8	3	31, 96, 264, 285, 423, 478, 481, 597, 625, 749, 887, 937, 1038, 1050, 1054, 1061, 1070, 1072, 1074, 1080, 1120, 1504, 1513, 1516, 1518, 1523, 1524, 1545, 1644, 1645, 1657, 1658, 2022, 2120, 2121, 2174, 2207, 2208, 2359, 2487, 2540, 2618
